,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
96,97,Kumonosu-jô,1957,110 min,"Drama, History            ",8.1,"r-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Akira Kurosawa ,"Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura",49517,
97,98,Les quatre cents coups,1959,99 min,"Crime, Drama            ",8.1,"ung boy, left without attention, delves into a life of petty crime.",François Truffaut ,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble",110952,
98,99,The Thin Man,1934,91 min,"Comedy, Crime, Mystery            ",8,"er detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",W.S. Van Dyke ,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton",27971,
99,100,8½,1963,138 min,Drama            ,8,rried movie director retreats into his memories and fantasies.,Federico Fellini ,"Marcello Mastroianni, Anouk Aimée, Claudia Cardinale, Sandra Milo",113180,$0.05M
100,101,Paper Moon,1973,102 min,"Comedy, Crime, Drama            ",8.1,"ng the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Peter Bogdanovich ,"Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman",44415,$30.93M
101,102,Du rififi chez les hommes,1955,118 min,"Crime, Drama, Thriller            ",8.1," men plan a technically perfect crime, but the human element intervenes...",Jules Dassin ,"Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey",32295,$0.06M
102,103,Sweet Smell of Success,1957,96 min,"Drama, Film-Noir            ",8,rful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,Alexander Mackendrick ,"Burt Lancaster, Tony Curtis, Susan Harrison, Martin Milner",29925,
103,104,La Strada,1954,108 min,Drama            ,8,"re-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.",Federico Fellini ,"Anthony Quinn, Giulietta Masina, Richard Basehart, Aldo Silvani",60633,
104,105,La Grande Illusion,1937,113 min,"Drama, War            ",8.1,"ng WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Jean Renoir ,"Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim",35212,$0.17M
105,106,The Little Foxes,1941,116 min,"Drama, Romance            ",8,"ruthless, moneyed Hubbard clan lives in, and poisons, their part of the deep South at the turn of the twentieth century.",William Wyler ,"Bette Davis, Herbert Marshall, Teresa Wright, Richard Carlson",11258,
