,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
150,151,Ayla: The Daughter of War,2017,125 min,"Biography, Drama, History            ",8.4,"950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »
","Can Ulkay, Halenur Uzunoglu ","Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol",36881,
151,152,The Four Feathers,2002,132 min,"Action, Adventure, Drama            ",6.5,itish officer resigns his post just before battle and subsequently receives four white feathers from his friends and fiancee as symbols of what they believe to be his cowardice.,Shekhar Kapur ,"Heath Ledger, Wes Bentley, Kate Hudson, Mohamed Bouich",33447,$18.31M
152,153,Darfur,2009,98 min,"Drama, War            ",5.9,"ican journalists in Sudan are confronted with the dilemma of whether to return home to report on the atrocities they have seen, or to stay behind and help some of the victims they have encountered.",Uwe Boll ,"Kristanna Loken, David O'Hara, Noah Dalton Danby, Matt Frewer",2585,
153,154,Loin des hommes,2014,101 min,"Drama, War, Western            ",7.2,"ria, 1954. Two very different men thrown together by a world in turmoil are forced to flee across the Atlas mountains. Daru, the reclusive teacher, has to escort Mohamed, a villager accused of murder.",David Oelhoffen ,"Viggo Mortensen, Reda Kateb, Djemel Barek, Vincent Martin",7671,
154,155,V avguste 44-go,2001,109 min,"Action, Mystery, Drama            ",7.5,"movie is set in Belarus, where a team of counter-intelligence officers is given only three days to find a German radio operator posing as a Soviet soldier, behind soviet lines, on the ...                See full summary »
",Mikhail Ptashuk ,"Evgeniy Mironov, Vladislav Galkin, Yuri Kolokolnikov, Aleksey Petrenko",1532,
155,156,Doroga na Berlin,2015,82 min,"Drama, War            ",6.4,"film is based on a novella by the well-known Stoviet writer who served on the front, Emmanuil kazakevich ""Two in the Steppe"" and the war diaries of Konstantin Simonov.",Sergei Popov ,"Amir Abdykalov, Yuriy Borisov, Maksim Demchenko, Andrey Deryugin",603,
156,157,Kray,2010,124 min,"Adventure, Drama, History            ",6.5,"945, Soviet war hero Ignat is sent to work as a locomotive mechanic in a Siberian labor camp where he meets an assortment of Germans and Russians.",Aleksey Uchitel ,"Vladimir Mashkov, Anjorka Strechel, Yuliya Peresild, Sergey Garmash",3014,
157,158,Es war einmal in Deutschland...,2017,102 min,"Comedy, Drama, War            ",6.5,"d Berman and his friends, all Holocaust survivors, have only one purpose: to go to America as soon as possible. For this they need money. Close to his aim, David is not only deprived of his savings but also overtaken by his shady past.",Sam Garbarski ,"Moritz Bleibtreu, Antje Traue, Tim Seyfi, Mark Ivanir",1384,$0.07M
158,159,Lore,2012,109 min,"Drama, Romance, War            ",7.1,"he Allies sweep across Germany, Lore leads her siblings on a journey that exposes them to the truth of their parents' beliefs. An encounter with a mysterious refugee forces Lore to rely on a person she has always been taught to hate.",Cate Shortland ,"Saskia Rosendahl, Kai-Peter Malina, Nele Trebs, Ursina Lardi",14803,$0.97M
159,160,Nebel im August,2016,121 min,"Drama, War            ",7.3,"ma boy is placed in a mental hospital and experiences the Nazi euthanasia program. Aware of what was happening and attached to friends, the lad attempts to sabotage the program. The ...                See full summary »
",Kai Wessel ,"Ivo Pietzcker, Sebastian Koch, Thomas Schubert, Fritzi Haberlandt",2283,
160,161,Zona hostil,2017,93 min,"Action, Drama, Thriller            ",6.3,"fghanistan, a Spanish medevac is sent behind enemy/Taleban lines. Bad landing destroys the rotor. They are spotted by the Taleban. Can they and the chopper be rescued in time?",Adolfo Martínez Pérez ,"Ariadna Gil, Raúl Mérida, Roberto Álamo, Antonio Garrido",1619,
161,162,Alatriste,2006,145 min,"Action, Adventure, Drama            ",6.1,"o Mortensen plays the Spanish soldier-turned-mercenary Captain Alatriste, a heroic figure from the country's 17th century imperial wars.",Agustín Díaz Yanes ,"Viggo Mortensen, Elena Anaya, Unax Ugalde, Eduard Fernández",12848,
162,163,1898. Los últimos de Filipinas,2016,105 min,"Drama, History, War            ",6.5,ldiers trapped inside a church as last refugee. A fight that no one couldn't win. A war that no one wanted to lose.,Salvador Calvo ,"Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde",3112,
163,164,Shpion,2012,108 min,"Action, Drama, Thriller            ",5.4,"he spring of 1941 German agent Wasser of the Abwehr holds an NKVD commissar hostage. Two soldiers, a boxer and a spy are the NKVD's only hope to rescue him.",Aleksey Andrianov ,"Danila Kozlovskiy, Fedor Bondarchuk, Anna Chipovskaya, Sergey Gazarov",1231,
