,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
29,30,"Don't Worry, He Won't Get Far on Foot",2018,114 min,"Biography, Comedy, Drama            ",6.9,"he rocky path to sobriety after a life-changing accident, John Callahan discovers the healing power of art, willing his injured hands into drawing hilarious, often controversial cartoons, which bring him a new lease on life.",Gus Van Sant ,"Joaquin Phoenix, Jonah Hill, Rooney Mara, Jack Black",24187,$1.44M
30,31,Crazy Rich Asians,2018,120 min,"Comedy, Drama, Romance            ",6.9," contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",Jon M. Chu ,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan",154245,$174.53M
31,32,22 July,2018,143 min,"Crime, Drama, History            ",6.8,"ree-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.",Paul Greengrass ,"Anders Danielsen Lie, Jonas Strand Gravli, Jon Øigarden, Maria Bock",31336,
32,33,Sicario: Day of the Soldado,2018,122 min,"Action, Adventure, Crime            ",7.1,"drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",Stefano Sollima ,"Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan",134590,$50.07M
33,34,Private Life,2018,123 min,"Comedy, Drama            ",7.2,"uthor is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.",Tamara Jenkins ,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid, Amy Russ",17867,
34,35,A Star Is Born,2018,136 min,"Drama, Music, Romance            ",7.6,sician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Bradley Cooper ,"Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg",354021,$215.29M
35,36,Whitney,2018,120 min,"Documentary, Biography, Drama            ",7.3,n-depth look at the life and music of Whitney Houston.,Kevin Macdonald ,"Whitney Houston, Ellen White, Michael Houston, Cissy Houston",7075,$3.03M
36,37,The Joke Thief,2018,81 min,Drama            ,6,"Joke Thief takes us on a journey of one man's last hurrah. Simon McCabe is a stand up comedian who has been making people laugh for 35 years. All his life he has been the life of the ...                See full summary »
",Frank D'Angelo ,"Frank D'Angelo, Sugith Varughese, Linda Gale, Art Hindle",3964,
37,38,Columbus,I) (,104 min,Drama            ,7.2,"rean-born man finds himself stuck in Columbus, Indiana, where his architect father is in a coma. The man meets a young woman who wants to stay in Columbus with her mother, a recovering addict, instead of pursuing her own dreams.",Kogonada ,"John Cho, Haley Lu Richardson, Parker Posey, Michelle Forbes",15685,$1.02M
38,39,Wonder Woman,2017,141 min,"Action, Adventure, Fantasy            ",7.4," a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Patty Jenkins ,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis",608022,$412.56M
39,40,Black Mirror: Bandersnatch,2018,90 min,"Drama, Fantasy, Mystery            ",7.1,ung programmer starts to question reality when he adapts a mad writer's fantasy novel into a video game.,David Slade ,"Fionn Whitehead, Craig Parkinson, Alice Lowe, Asim Chaudhry",118963,
40,41,Edie,2017,102 min,"Adventure, Drama            ",6.6,"ear old Edie believes that it is never too late - packing an old camping bag, leaving her life behind and embarking on an adventure she never got to have - climbing the imposing Mount Suilven in Scotland.",Simon Hunter ,"Sheila Hancock, Kevin Guthrie, Paul Brannigan, Amy Manson",2083,$0.02M
41,42,Mission: Impossible - Fallout,2018,147 min,"Action, Adventure, Thriller            ",7.7,"n Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie ,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",306498,$220.16M
42,43,Mission Control: The Unsung Heroes of Apollo,2017,101 min,"Documentary, History            ",7.6,he heart of the Apollo program was the special team in Mission Control who put a man on the moon and helped create the future.,David Fairhead ,"John Aaron, Stephen Bales, Jerry Bostick, James Burke",1588,
43,44,The Ballad of Buster Scruggs,2018,133 min,"Comedy, Drama, Musical            ",7.3,"tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","Ethan Coen, Joel Coen ","Tim Blake Nelson, Willie Watson, Clancy Brown, Danny McCarthy",132086,
44,45,Indian Horse,2017,101 min,"Drama, Sport            ",7.3,"ows the life of Native Canadian Saul Indian Horse as he survives residential school and life amongst the racism of the 1970s. A talented hockey player, Saul must find his own path as he battles stereotypes and alcoholism.",Stephen S. Campanelli ,"Ajuawak Kapashesit, Wayne Baker, Sladen Peltier, Skye Pelletier",1783,$1.95M
